date,count
2021-07-08,2
2021-08-09,2
2021-08-17,2
2021-09-07,2
2021-09-10,2
2021-10-18,2
2021-11-20,2
2021-11-23,2
2021-12-05,2
2021-12-17,2
2021-12-18,2
2022-01-04,2
2022-01-11,2
2022-01-19,2
2022-02-25,2
2022-03-22,2
2022-03-25,2
2022-04-14,2
2022-04-25,2
2022-05-06,2
2022-05-12,2
2022-05-15,2
2022-05-21,2
2022-05-31,2
2022-06-05,2
2022-06-07,2
2022-06-20,2
2022-06-29,2
2022-07-09,2
2022-07-27,2
2022-07-30,2
2022-08-06,2
2022-08-07,2
2022-08-08,2
2022-08-31,2
2022-09-12,2
2022-09-15,2
2022-09-16,2
2022-10-15,2
2022-10-31,2
2022-11-13,2
2018-10-14,1
2019-06-21,1
2019-07-26,1
2019-07-27,1
2019-07-29,1
2019-08-08,1
2019-08-09,1
2019-08-20,1
2019-09-14,1
2019-10-10,1
2019-10-14,1
2019-11-13,1
2019-11-28,1
2019-12-13,1
2019-12-14,1
2019_11_02,1
2020-01-21,1
2020-01-31,1
2020-02-27,1
2020-03-08,1
2020-03-09,1
2020-03-24,1
2020-04-05,1
2020-04-29,1
2020-05-10,1
2020-06-22,1
2020-07-07,1
2020-07-12,1
2020-07-16,1
2020-08-09,1
2020-08-24,1
2020-09-01,1
2020-09-04,1
2020-09-07,1
2020-09-14,1
2020-10-13,1
2020-10-16,1
2020-11-06,1
2020-11-14,1
2020-11-16,1
2020-11-25,1
2020-11-29,1
2020-12-06,1
2020-12-15,1
2021-01-12,1
2021-01-14,1
2021-01-25,1
2021-03-04,1
2021-03-18,1
2021-03-19,1
2021-03-28,1
2021-04-01,1
2021-04-06,1
2021-04-14,1
2021-04-24,1
2021-04-27,1
2021-05-05,1
2021-05-10,1
2021-05-13,1
2021-05-14,1
2021-05-16,1
2021-05-18,1
2021-06-04,1
2021-06-05,1
2021-06-11,1
2021-06-14,1
2021-06-16,1
2021-06-18,1
2021-06-22,1
2021-06-23,1
2021-06-30,1
2021-07-11,1
2021-07-18,1
2021-08-02,1
2021-08-07,1
2021-08-13,1
2021-08-18,1
2021-09-06,1
2021-09-11,1
2021-09-20,1
2021-09-27,1
2021-10-10,1
2021-10-16,1
2021-10-17,1
2021-10-20,1
2021-10-26,1
2021-10-29,1
2021-11-02,1
2021-11-14,1
2021-12-03,1
2021-12-11,1
2021-12-15,1
2021-12-19,1
2021-12-21,1
2022-01-21,1
2022-02-07,1
2022-02-08,1
2022-02-10,1
2022-02-28,1
2022-03-02,1
2022-03-21,1
2022-03-27,1
2022-03-30,1
2022-04-01,1
2022-04-02,1
2022-04-10,1
2022-05-08,1
2022-05-11,1
2022-05-23,1
2022-06-03,1
2022-06-04,1
2022-06-06,1
2022-06-16,1
2022-06-23,1
2022-07-05,1
2022-07-11,1
2022-07-18,1
2022-07-21,1
2022-08-23,1
2022-09-04,1
2022-09-20,1
2022-09-22,1
2022-09-24,1
2022-09-25,1
2022-09-29,1
2022-10-08,1
2022-10-10,1
2022-10-13,1
2022-10-22,1
2022-11-09,1
2022-11-10,1
